0.000000,-0.001729,0.000435,-0.001885,-0.000317,-0.000030,0.006794,-0.000033,-0.002040,0.002514
0.000700,-0.001729,0.000435,-0.001885,-0.000317,-0.000025,0.007002,-0.000034,-0.001787,0.002516
0.001400,-0.001729,0.000435,-0.001885,-0.000317,-0.000020,0.007199,-0.000035,-0.001486,0.002518
0.002100,-0.001729,0.000435,-0.001886,-0.000317,-0.000015,0.007371,-0.000036,-0.001139,0.002521
0.002800,-0.001728,0.000435,-0.001886,-0.000317,-0.000010,0.007506,-0.000037,-0.000748,0.002524
0.003500,-0.001728,0.000435,-0.001886,-0.000317,-0.000005,0.007590,-0.000037,-0.000323,0.002527
0.004200,-0.001728,0.000435,-0.001886,-0.000317,0.000001,0.007615,-0.000037,0.000120,0.002531
0.004900,-0.001727,0.000435,-0.001886,-0.000317,0.000006,0.007577,-0.000037,0.000561,0.002535
0.005600,-0.001727,0.000435,-0.001887,-0.000317,0.000011,0.007479,-0.000037,0.000983,0.002539
0.006300,-0.001727,0.000436,-0.001887,-0.000317,0.000016,0.007332,-0.000036,0.001370,0.002543
0.007000,-0.001726,0.000436,-0.001887,-0.000317,0.000021,0.007149,-0.000035,0.001712,0.002547
0.007700,-0.001726,0.000436,-0.001887,-0.000317,0.000026,0.006943,-0.000033,0.002006,0.002551
0.008400,-0.001726,0.000436,-0.001888,-0.000316,0.000031,0.006727,-0.000032,0.002253,0.002555
0.009100,-0.001726,0.000436,-0.001888,-0.000316,0.000036,0.006508,-0.000030,0.002456,0.002560
0.009800,-0.001725,0.000436,-0.001888,-0.000316,0.000040,0.006295,-0.000028,0.002621,0.002564
0.010500,-0.001725,0.000436,-0.001888,-0.000316,0.000045,0.006091,-0.000027,0.002753,0.002568
0.011200,-0.001725,0.000436,-0.001888,-0.000316,0.000049,0.005899,-0.000025,0.002859,0.002573
0.011900,-0.001724,0.000436,-0.001889,-0.000316,0.000053,0.005720,-0.000023,0.002942,0.002577
0.012600,-0.001724,0.000436,-0.001889,-0.000316,0.000057,0.005553,-0.000020,0.003008,0.002581
0.013300,-0.001724,0.000436,-0.001889,-0.000316,0.000061,0.005398,-0.000018,0.003059,0.002585
0.014000,-0.001723,0.000436,-0.001889,-0.000316,0.000064,0.005256,-0.000016,0.003099,0.002589
0.014700,-0.001723,0.000436,-0.001890,-0.000316,0.000068,0.005124,-0.000014,0.003129,0.002593
0.015400,-0.001723,0.000436,-0.001890,-0.000316,0.000072,0.005003,-0.000012,0.003151,0.002597
0.016100,-0.001722,0.000436,-0.001890,-0.000316,0.000075,0.004891,-0.000010,0.003168,0.002601
0.016800,-0.001722,0.000436,-0.001890,-0.000316,0.000078,0.004787,-0.000007,0.003179,0.002605
0.017500,-0.001722,0.000437,-0.001890,-0.000316,0.000082,0.004690,-0.000005,0.003187,0.002609
0.018200,-0.001722,0.000437,-0.001891,-0.000315,0.000085,0.004601,-0.000003,0.003191,0.002613
0.018900,-0.001721,0.000437,-0.001891,-0.000315,0.000088,0.004518,-0.000001,0.003193,0.002617
0.019600,-0.001721,0.000437,-0.001891,-0.000315,0.000091,0.004441,0.000002,0.003193,0.002620
0.020300,-0.001721,0.000437,-0.001891,-0.000315,0.000094,0.004369,0.000004,0.003191,0.002624
0.021000,-0.001720,0.000437,-0.001892,-0.000315,0.000097,0.004301,0.000006,0.003187,0.002628
0.021700,-0.001720,0.000437,-0.001892,-0.000315,0.000100,0.004238,0.000008,0.003183,0.002631
0.022400,-0.001720,0.000437,-0.001892,-0.000315,0.000103,0.004179,0.000010,0.003177,0.002635
0.023100,-0.001719,0.000437,-0.001892,-0.000315,0.000106,0.004123,0.000013,0.003171,0.002638
0.023800,-0.001719,0.000437,-0.001892,-0.000315,0.000109,0.004071,0.000015,0.003165,0.002642
0.024500,-0.001719,0.000437,-0.001893,-0.000315,0.000112,0.004022,0.000017,0.003157,0.002646
0.025200,-0.001719,0.000437,-0.001893,-0.000315,0.000115,0.003975,0.000019,0.003150,0.002649
0.025900,-0.001718,0.000437,-0.001893,-0.000315,0.000118,0.003931,0.000022,0.003142,0.002652
0.026600,-0.001718,0.000437,-0.001893,-0.000315,0.000120,0.003889,0.000024,0.003134,0.002656
0.027300,-0.001718,0.000437,-0.001894,-0.000315,0.000123,0.003850,0.000026,0.003126,0.002659
0.028000,-0.001717,0.000438,-0.001894,-0.000314,0.000126,0.003812,0.000028,0.003118,0.002663
0.028700,-0.001717,0.000438,-0.001894,-0.000314,0.000128,0.003776,0.000030,0.003110,0.002666
0.029400,-0.001717,0.000438,-0.001894,-0.000314,0.000131,0.003742,0.000032,0.003102,0.002669
0.030100,-0.001716,0.000438,-0.001894,-0.000314,0.000134,0.003710,0.000035,0.003093,0.002673
0.030800,-0.001716,0.000438,-0.001895,-0.000314,0.000136,0.003679,0.000037,0.003085,0.002676
0.031500,-0.001716,0.000438,-0.001895,-0.000314,0.000139,0.003649,0.000039,0.003077,0.002679
0.032200,-0.001715,0.000438,-0.001895,-0.000314,0.000141,0.003621,0.000041,0.003069,0.002683
0.032900,-0.001715,0.000438,-0.001895,-0.000314,0.000144,0.003594,0.000043,0.003061,0.002686
0.033600,-0.001715,0.000438,-0.001896,-0.000314,0.000146,0.003568,0.000045,0.003053,0.002689
0.034300,-0.001715,0.000438,-0.001896,-0.000314,0.000149,0.003543,0.000047,0.003045,0.002692
0.035000,-0.001714,0.000438,-0.001896,-0.000314,0.000151,0.003519,0.000050,0.003037,0.002695
0.035700,-0.001714,0.000438,-0.001896,-0.000314,0.000154,0.003497,0.000052,0.003030,0.002699
